date,desc,language,new_stars,times_listed,total_start,trending_type,gh_archived,gh_created_at,gh_data_collected_at,gh_default_branch,gh_description,gh_fork,gh_forks_count,gh_full_name,gh_language,gh_name,gh_network_count,gh_open_issues_count,gh_owner_login,gh_owner_type,gh_size,gh_stargazers_count,gh_subscribers_count,gh_url,gh_watchers,gh_watchers_count
2018-06-10,Stringify JSON *just enough* to see what it is,JavaScript,9,0,10,new_repo,False,1528595409,1550937005,master,Stringify JSON *just enough* to see what it is,False,0,jamiebuilds/json-peek,JavaScript,json-peek,0.0,0,jamiebuilds,User,27,30,2.0,https://api.github.com/repos/jamiebuilds/json-peek,30,30
2018-06-01,Simple stubbing/spying for Ava,JavaScript,8,0,10,new_repo,False,1527882700,1550936871,master,Simple stubbing/spying for AVA,False,1,jamiebuilds/ninos,JavaScript,ninos,1.0,0,jamiebuilds,User,39,82,3.0,https://api.github.com/repos/jamiebuilds/ninos,82,82
2018-06-10,Cast unknown values to typed values,JavaScript,10,0,14,new_repo,False,1528661123,1550937002,master,Cast unknown values to typed values,False,3,jamiebuilds/sarcastic,JavaScript,sarcastic,3.0,2,jamiebuilds,User,41,61,3.0,https://api.github.com/repos/jamiebuilds/sarcastic,61,61
2018-06-01,IPSRC helps you find your server from anywhere.,Python,9,0,11,new_repo,False,1527866294,1550936869,master,IPSRC helps you find your server from anywhere.,False,5,jmercouris/IPSRC,Python,IPSRC,5.0,0,jmercouris,User,19,40,5.0,https://api.github.com/repos/jmercouris/IPSRC,40,40
2018-06-10,A modern deep learning framework built to accelerate research and development of AI systems,Python,19,0,29,new_repo,False,1528632756,1550936997,master,A modern deep learning framework built to accelerate research and development of AI systems,False,24,johnolafenwa/TorchFusion,Python,TorchFusion,24.0,1,johnolafenwa,User,1181,205,16.0,https://api.github.com/repos/johnolafenwa/TorchFusion,205,205
2018-06-03,React Application Manager: create and run React applications – no command line or build setup required,JavaScript,38,0,66,new_repo,False,1528036342,1550936900,master,:atom_symbol: React Application Manager: create and run React (and other) applications – no command line or build setup required,False,28,jxnblk/ram,JavaScript,ram,28.0,9,jxnblk,User,2968,577,17.0,https://api.github.com/repos/jxnblk/ram,577,577
2018-06-01,Reference implementations of popular deep learning models.,Python,11,0,15,new_repo,False,1527879618,1550936866,master,Reference implementations of popular deep learning models.,False,229,keras-team/keras-applications,Python,keras-applications,229.0,16,keras-team,Organization,416,696,35.0,https://api.github.com/repos/keras-team/keras-applications,696,696
2018-06-11,A powerful UI toolkit for managing JavaScript apps,JavaScript,424,4,1811,repeat_repo,False,1527940437,1550936970,master,A powerful UI toolkit for managing JavaScript apps,False,143,kitze/JSUI,JavaScript,JSUI,143.0,33,kitze,User,872,3701,76.0,https://api.github.com/repos/kitze/JSUI,3701,3701
2018-06-01,Enable `media` attribute on Vue SFC styles,TypeScript,11,0,13,new_repo,False,1527842871,1550936865,master,Enable `media` attribute on Vue SFC styles,False,1,ktsn/vue-media-loader,TypeScript,vue-media-loader,1.0,0,ktsn,User,154,43,1.0,https://api.github.com/repos/ktsn/vue-media-loader,43,43
2018-06-06,The open-source files comprising Leap Motion's Project North Star AR Headset.,C,108,0,127,new_repo,False,1528160443,1550936944,master,The open-source files comprising Leap Motion's Project North Star AR Headset.,False,129,leapmotion/ProjectNorthStar,C,ProjectNorthStar,129.0,20,leapmotion,Organization,214329,761,185.0,https://api.github.com/repos/leapmotion/ProjectNorthStar,761,761
2018-06-03,Defining a grammar of tables,,32,0,39,new_repo,False,1528022518,1550936901,master,Defining a grammar of tables,False,4,leeper/tttable,,tttable,4.0,9,leeper,User,49,93,14.0,https://api.github.com/repos/leeper/tttable,93,93
2018-06-08,"This is the code for ""Modeling Evolution with Tensorflow.js"" By Siraj Raval",JavaScript,15,0,17,new_repo,False,1528480764,1550936976,master,"This is the code for ""Modeling Evolution with Tensorflow.js"" By Siraj Raval",False,30,llSourcell/Modeling_Evolution_with_TensorflowJS,JavaScript,Modeling_Evolution_with_TensorflowJS,30.0,0,llSourcell,User,1153,81,1.0,https://api.github.com/repos/llSourcell/Modeling_Evolution_with_TensorflowJS,81,81
2018-06-01,"This is the code for ""Webcam Tracking with Tensorflow.js"" By Siraj Raval on Youtube",TypeScript,35,0,39,new_repo,False,1527844470,1550936859,master,"This is the code for ""Webcam Tracking with Tensorflow.js"" By Siraj Raval on Youtube",False,64,llSourcell/pose_estimation,TypeScript,pose_estimation,64.0,5,llSourcell,User,3773,221,16.0,https://api.github.com/repos/llSourcell/pose_estimation,221,221
2018-06-03,"This is the code for ""World Models Explained"" By Siraj Raval on Youtube",Python,19,0,20,new_repo,False,1528003618,1550936902,master,"This is the code for ""World Models Explained"" By Siraj Raval on Youtube",False,21,llSourcell/world_models,Python,world_models,21.0,1,llSourcell,User,5173,69,4.0,https://api.github.com/repos/llSourcell/world_models,69,69
2018-06-01,A native iOS & macOS IDE for the Cub programming language,Swift,26,0,32,new_repo,False,1527835290,1550936860,master,A native iOS & macOS IDE for the Cub programming language,False,2,louisdh/savanna,Swift,savanna,2.0,0,louisdh,User,2914,59,2.0,https://api.github.com/repos/louisdh/savanna,59,59
2018-06-07,"Semantic segmentation on aerial and satellite imagery. Extracts features such as: buildings, parking lots, roads, water",Python,28,0,30,new_repo,False,1528375353,1550936958,master," Semantic segmentation on aerial and satellite imagery. Extracts features such as: buildings, parking lots, roads, water, clouds",False,149,mapbox/robosat,Python,robosat,149.0,40,mapbox,Organization,1257,1189,145.0,https://api.github.com/repos/mapbox/robosat,1189,1189
2018-06-08,Give Github some XP flair 🔥,,296,0,2253,repeat_repo,False,1528101136,1550936908,master,Give Github some XP flair 🔥,False,78,martenbjork/github-xp,,github-xp,78.0,11,martenbjork,User,840,2736,27.0,https://api.github.com/repos/martenbjork/github-xp,2736,2736
2018-06-07,Code for the generative projection mapped animations during JSConf EU 2018 in Berlin.,JavaScript,21,0,31,new_repo,False,1525863487,1550936959,master,Code for the generative projection mapped animations during JSConf EU 2018 in Berlin.,False,20,mattdesl/jsconfeu-generative-visuals,JavaScript,jsconfeu-generative-visuals,20.0,0,mattdesl,User,61899,330,7.0,https://api.github.com/repos/mattdesl/jsconfeu-generative-visuals,330,330
2018-06-10,"""Good Luck With That"" Public License",,137,0,2440,repeat_repo,False,1528272637,1550936941,master,"""Good Luck With That"" Public License",False,137,me-shaon/GLWTPL,,GLWTPL,137.0,4,me-shaon,User,2413,3631,46.0,https://api.github.com/repos/me-shaon/GLWTPL,3631,3631
2018-06-02,"Fast (up to 6x faster than golint), configurable, extensible, flexible, and beautiful linter for Go. Drop-in replacement of golint.",Go,205,0,659,first_time,False,1499186192,1550936889,master,"🔥 ~6x faster, stricter, configurable, extensible, and beautiful drop-in replacement for golint.",False,57,mgechev/revive,Go,revive,57.0,4,mgechev,User,4166,1537,29.0,https://api.github.com/repos/mgechev/revive,1537,1537
2018-06-06,lossless-compression,,14,0,15,new_repo,False,1528265523,1550936950,master,lossless-compression,False,3,microsoftbuyinggithub/lossless-compression,,lossless-compression,3.0,1,microsoftbuyinggithub,User,5,17,4.0,https://api.github.com/repos/microsoftbuyinggithub/lossless-compression,17,17
2018-06-07,Create your own universe of packages a la tidyverse.,R,14,0,15,new_repo,False,1528395317,1550936964,master,📦🔭🌠 Create your own universe of packages à la tidyverse,False,4,mkearney/pkgverse,R,pkgverse,4.0,5,mkearney,User,1030,94,4.0,https://api.github.com/repos/mkearney/pkgverse,94,94
2018-06-10,每天大红包 · 服务端,Java,11,0,17,new_repo,False,1528621867,1550937000,master,每天大红包 · 服务端,False,84,mtdhb/api,Java,api,84.0,1,mtdhb,Organization,700,97,7.0,https://api.github.com/repos/mtdhb/api,97,97
2018-06-10,每天大红包 · 领取端,JavaScript,12,0,16,new_repo,False,1528621344,1550936999,master,每天大红包 · 领取端,False,69,mtdhb/get,JavaScript,get,69.0,0,mtdhb,Organization,201,65,6.0,https://api.github.com/repos/mtdhb/get,65,65
2018-06-09,Program Synthesis,Jupyter Notebook,8,0,14,new_repo,False,1516645188,1550936991,master,Program Synthesis,False,9,nearai/program_synthesis,Jupyter Notebook,program_synthesis,9.0,2,nearai,Organization,861,76,10.0,https://api.github.com/repos/nearai/program_synthesis,76,76
2018-06-11,An OPML file with 22 of the top 25 US newspapers RSS feeds,,19,0,21,new_repo,False,1528686547,1550937018,master,An OPML file with 22 of the top 25 US newspapers RSS feeds,False,3,newman8r/us-newspapers-opml,,us-newspapers-opml,3.0,0,newman8r,User,14,37,3.0,https://api.github.com/repos/newman8r/us-newspapers-opml,37,37
2018-06-09,local offline p2p social git frontend,JavaScript,15,0,19,new_repo,False,1528505485,1550936987,master,local offline p2p social git frontend,False,3,noffle/gitverse,JavaScript,gitverse,3.0,1,noffle,User,149,47,8.0,https://api.github.com/repos/noffle/gitverse,47,47
2018-06-06,An Xcode playground demonstrating the new features in in Swift 4.2.,Swift,28,0,45,new_repo,False,1528313423,1550936947,master,An Xcode playground demonstrating the new features in in Swift 4.2.,False,44,ole/whats-new-in-swift-4-2,Swift,whats-new-in-swift-4-2,44.0,0,ole,User,329,921,27.0,https://api.github.com/repos/ole/whats-new-in-swift-4-2,921,921
2018-06-11,"Code and model for the paper ""Improving Language Understanding by Generative Pre-Training""",Python,51,0,84,new_repo,False,1528697080,1550937011,master,"Code and model for the paper ""Improving Language Understanding by Generative Pre-Training""",False,269,openai/finetune-transformer-lm,Python,finetune-transformer-lm,269.0,20,openai,Organization,423329,1140,66.0,https://api.github.com/repos/openai/finetune-transformer-lm,1140,1140
