full_name,date,end_date,period,total_revs,first_rev,last_rev,new_contribs,new_committers,total_contribs,committers_for_others,total_committers,mean_contribs,median_contribs,std_contribs,max_contribs,min_contribs,top_conrib_ratio,bottom_conrib_ratio,conrib_ratio,mean_commits,median_commits,std_commits,max_commits,min_commits,top_commits_ratio,bottom_commits_ratio,commits_ratio,mean_commits_others,median_commits_others,std_commits_others,max_commits_others,min_commits_others,top_commits_others_ratio,bottom_commits_others_ratio,commit_for_others_ratios,initial_commit_date,age_days,releases,no_releases,refactors,fixes_can_be_doc,not_fixes_can_be_doc,fixes_and_doc,fixes_no_doc,docs,commits_no_merge,merges,total_commits,files_changed_churn,loc_added_churn,loc_removed_churn,files_changed_delta,loc_added_delta,loc_removed_delta
tensorflow/tensorflow,2019-01-01,2019-02-01,1,1862,31723c74caf0cf3effb46e12de00eb80ae86a899,15d49deb3c5d4048718af19a2e0e0279e8f204d5,43,0,210,3,69,8.661904761904761,3.0,39.37251853030868,570,1,0.31335898845519516,0.0005497526113249038,"[0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.0021990104452996153, 0.002748763056624519, 0.002748763056624519, 0.002748763056624519, 0.002748763056624519, 0.002748763056624519, 0.002748763056624519, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0038482682792743265, 0.0043980208905992305, 0.0043980208905992305, 0.0043980208905992305, 0.004947773501924134, 0.004947773501924134, 0.004947773501924134, 0.004947773501924134, 0.005497526113249038, 0.005497526113249038, 0.005497526113249038, 0.005497526113249038, 0.005497526113249038, 0.005497526113249038, 0.005497526113249038, 0.006047278724573941, 0.006047278724573941, 0.006047278724573941, 0.006047278724573941, 0.006597031335898846, 0.006597031335898846, 0.006597031335898846, 0.006597031335898846, 0.006597031335898846, 0.006597031335898846, 0.006597031335898846, 0.007146783947223749, 0.007146783947223749, 0.007146783947223749, 0.007146783947223749, 0.007146783947223749, 0.007696536558548653, 0.007696536558548653, 0.007696536558548653, 0.007696536558548653, 0.008246289169873557, 0.008246289169873557, 0.008796041781198461, 0.008796041781198461, 0.008796041781198461, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009895547003848268, 0.009895547003848268, 0.010445299615173173, 0.010995052226498075, 0.01154480483782298, 0.01154480483782298, 0.012094557449147883, 0.012094557449147883, 0.014293567894447499, 0.015393073117097306, 0.016492578339747113, 0.017592083562396922, 0.019791094007696537, 0.31335898845519516]",26.36231884057971,2.0,177.1606959890331,1486,1,0.816932380428807,0.0005497526113249038,"[0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0005497526113249038, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0010995052226498076, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0016492578339747114, 0.0021990104452996153, 0.0021990104452996153, 0.002748763056624519, 0.002748763056624519, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.003298515667949423, 0.0038482682792743265, 0.0038482682792743265, 0.0043980208905992305, 0.0043980208905992305, 0.004947773501924134, 0.006047278724573941, 0.006597031335898846, 0.007146783947223749, 0.007696536558548653, 0.009345794392523364, 0.010995052226498075, 0.012094557449147883, 0.016492578339747113, 0.02473886750962067, 0.816932380428807]",321.0,45.0,421.09460536400445,916,2,0.9511941848390446,0.0020768431983385254,"[0.0020768431983385254, 0.04672897196261682, 0.9511941848390446]",2015-11-07,1232,v1.13.0-rc0,1,25,375,1311,20,355,67,1686,176,1862,278651,8419534,8516720,3123,55961,153140
tensorflow/tensorflow,2019-02-01,2019-03-01,2,2070,0b5d09d515ea6f54f949c600a585291b9ff05ea8,9cb9320acefb13bf1d7983a2e116c0933d89358c,50,0,218,5,64,9.422018348623853,3.0,43.07925139221229,630,1,0.30671859785783834,0.0004868549172346641,"[0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0024342745861733205, 0.0024342745861733205, 0.0024342745861733205, 0.0024342745861733205, 0.0024342745861733205, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0034079844206426485, 0.0034079844206426485, 0.0034079844206426485, 0.0034079844206426485, 0.0034079844206426485, 0.0034079844206426485, 0.0034079844206426485, 0.0034079844206426485, 0.0038948393378773127, 0.0038948393378773127, 0.0038948393378773127, 0.0038948393378773127, 0.0038948393378773127, 0.0038948393378773127, 0.0038948393378773127, 0.004381694255111977, 0.004381694255111977, 0.004381694255111977, 0.004381694255111977, 0.004381694255111977, 0.004868549172346641, 0.004868549172346641, 0.004868549172346641, 0.004868549172346641, 0.005355404089581304, 0.005355404089581304, 0.005842259006815969, 0.005842259006815969, 0.005842259006815969, 0.005842259006815969, 0.005842259006815969, 0.005842259006815969, 0.006329113924050633, 0.006329113924050633, 0.006815968841285297, 0.006815968841285297, 0.006815968841285297, 0.006815968841285297, 0.007302823758519961, 0.007302823758519961, 0.007302823758519961, 0.007302823758519961, 0.007789678675754625, 0.007789678675754625, 0.008276533592989289, 0.008763388510223954, 0.009250243427458617, 0.009737098344693282, 0.009737098344693282, 0.009737098344693282, 0.010223953261927946, 0.010223953261927946, 0.010223953261927946, 0.010223953261927946, 0.011197663096397274, 0.011684518013631937, 0.012171372930866602, 0.014118792599805257, 0.015092502434274586, 0.01557935735150925, 0.017039922103213243, 0.017526777020447908, 0.0189873417721519, 0.019474196689386564, 0.027750730282375853, 0.027750730282375853, 0.30671859785783834]",32.09375,2.0,198.13992205241604,1596,1,0.7770204479065238,0.0004868549172346641,"[0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0004868549172346641, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0009737098344693282, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0014605647517039922, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0019474196689386564, 0.0024342745861733205, 0.0024342745861733205, 0.0029211295034079843, 0.0029211295034079843, 0.0029211295034079843, 0.0034079844206426485, 0.0038948393378773127, 0.0038948393378773127, 0.0038948393378773127, 0.0038948393378773127, 0.004381694255111977, 0.004868549172346641, 0.006815968841285297, 0.007302823758519961, 0.007302823758519961, 0.009737098344693282, 0.014118792599805257, 0.01801363193768257, 0.08033106134371958, 0.7770204479065238]",226.8,1.0,375.01807956417247,966,1,0.8518518518518519,0.0008818342151675485,"[0.0008818342151675485, 0.0008818342151675485, 0.0008818342151675485, 0.1455026455026455, 0.8518518518518519]",2015-11-07,1232,"v1.13.0-rc1,v1.13.0-rc2,v1.13.1",3,25,354,1491,20,334,62,1845,225,2070,351526,13493694,13661848,3724,125313,293444
tensorflow/tensorflow,2019-03-01,2019-04-01,3,1511,36f817a9f3e7d2339cb53b91ddc508b3e25ab761,fdbaab6f506a1829cbadaf79482ffc95a7342b37,36,0,189,2,50,7.788359788359788,3.0,37.46981391003381,515,1,0.3498641304347826,0.0006793478260869565,"[0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.002717391304347826, 0.002717391304347826, 0.002717391304347826, 0.002717391304347826, 0.002717391304347826, 0.002717391304347826, 0.002717391304347826, 0.002717391304347826, 0.002717391304347826, 0.002717391304347826, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.004076086956521739, 0.004076086956521739, 0.004076086956521739, 0.004076086956521739, 0.004076086956521739, 0.004076086956521739, 0.004076086956521739, 0.004076086956521739, 0.004076086956521739, 0.004755434782608696, 0.004755434782608696, 0.004755434782608696, 0.004755434782608696, 0.004755434782608696, 0.004755434782608696, 0.004755434782608696, 0.005434782608695652, 0.005434782608695652, 0.005434782608695652, 0.005434782608695652, 0.005434782608695652, 0.005434782608695652, 0.005434782608695652, 0.006114130434782609, 0.006114130434782609, 0.006114130434782609, 0.006114130434782609, 0.006114130434782609, 0.006114130434782609, 0.006793478260869565, 0.006793478260869565, 0.006793478260869565, 0.006793478260869565, 0.006793478260869565, 0.006793478260869565, 0.006793478260869565, 0.007472826086956522, 0.007472826086956522, 0.007472826086956522, 0.008152173913043478, 0.008831521739130434, 0.008831521739130434, 0.008831521739130434, 0.008831521739130434, 0.009510869565217392, 0.010190217391304348, 0.010869565217391304, 0.010869565217391304, 0.010869565217391304, 0.010869565217391304, 0.012228260869565218, 0.014945652173913044, 0.014945652173913044, 0.015625, 0.015625, 0.015625, 0.01970108695652174, 0.03125, 0.3498641304347826]",29.44,2.0,167.45711809296137,1200,1,0.8152173913043478,0.0006793478260869565,"[0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.0006793478260869565, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.001358695652173913, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.0020380434782608695, 0.002717391304347826, 0.002717391304347826, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.0033967391304347825, 0.004076086956521739, 0.004755434782608696, 0.006114130434782609, 0.007472826086956522, 0.007472826086956522, 0.008831521739130434, 0.008831521739130434, 0.010869565217391304, 0.014945652173913044, 0.02717391304347826, 0.03125, 0.8152173913043478]",362.5,362.5,322.5,685,40,0.9448275862068966,0.05517241379310345,"[0.05517241379310345, 0.9448275862068966]",2015-11-07,1232,v2.0.0-alpha0,1,27,262,1056,12,250,49,1318,193,1511,143033,5868194,5999540,2205,61196,192542
